938.0000	287.0000
891.0000	288.5000
843.0000	290.0000
807.0000	290.5000
760.0000	286.5000
727.0000	283.5000
707.0000	284.0000
689.5000	278.5000
666.5000	270.5000
644.5000	263.0000
618.0000	261.0000
575.5000	256.0000
523.8333	253.8333
499.1667	252.5000
487.5000	252.5000
479.8333	253.5000
473.1667	247.8333
461.8333	238.1667
455.5000	231.1667
451.1667	224.5000
446.1667	215.5000
442.5000	204.1667
443.8333	194.1667
445.8333	182.1667
449.8333	172.8333
457.5000	166.8333
462.5000	160.8333
471.1667	154.8333
481.5000	149.5000
490.8333	142.8333
495.1667	140.1667
501.5000	140.1667
517.8333	140.5000
562.1667	142.8333
634.8333	145.5000
663.8333	144.8333
671.1667	141.1667
683.1667	137.8333
694.1667	134.5000
705.1666	130.8333
719.8334	128.5000
736.8334	126.1667
754.8334	122.1667
764.5000	120.1667
774.1666	119.1667
787.1666	118.1667
798.1666	115.1667
814.1666	104.1667
825.1666	99.8333
838.8334	99.5000
852.5000	99.1667
867.1666	99.8333
880.8334	102.1667
896.1666	105.1667
910.1666	109.5000
924.1666	116.1667
935.1666	123.8333
947.1666	135.1667
959.5000	146.5000
968.0000	153.0000
963.0000	161.5000
956.0000	172.0000
947.0000	187.5000
938.5000	202.5000
932.5000	215.5000
928.5000	230.0000
927.0000	241.0000
931.0000	255.0000
936.5000	271.5000
939.5000	282.5000
